category,data_period,total_children,single_men,single_women,total_single_adults,families_with_children,total_families,total_adults_in_families
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",201906,,,,,,,
number of unduplicated persons - DYCD-administered facilities,201906,31,153,134,287,5,5,5
Average Length of Stay: DYCD -administered crisis facility,201906,,14,,,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,201906,5,37,22,59,2,2,2
number of individuals who are on wait-list - DYCD-administered crisis shelters,201906,,,,,,,
average monthly utilization rates - DYCD-administered facilities,201906,,0.89,,,,,
number of unduplicated persons - DYCD-administered facilities,201907,96,382,345,727,47,47,47
number of unduplicated persons - DYCD-administered crisis shelters,201907,60,189,179,368,29,29,29
number of unduplicated persons - DYCD-administered drop-in centers,201907,56,181,118,299,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,201907,36,193,166,359,18,18,18
average monthly utilization rates - DYCD-administered facilities,201907,,0.87,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,201907,,0.9,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,201907,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,201907,,0.83,,,,,
,201907,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,201907,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,201907,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,201907,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,201907,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,201907,,,,,,,
,201907,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",201907,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,201907,,16,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,201907,,168,,,,,
number of unduplicated persons - DYCD-administered facilities,201908,50,177,160,337,15,15,15
number of unduplicated persons - DYCD-administered crisis shelters,201908,26,78,61,139,8,8,8
number of unduplicated persons - DYCD-administered drop-in centers,201908,11,60,61,121,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,201908,13,39,38,77,7,7,7
average monthly utilization rates - DYCD-administered facilities,201908,,0.83,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,201908,,0.86,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,201908,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,201908,,0.82,,,,,
,201908,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,201908,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,201908,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,201908,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,201908,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,201908,,,,,,,
,201908,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",201908,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,201908,,13,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,201908,,144,,,,,
,201908,,,,,,,
number of unduplicated persons - DYCD-administered facilities,201909,57,157,164,321,8,8,6
number of unduplicated persons - DYCD-administered crisis shelters,201909,24,62,82,144,5,5,4
number of unduplicated persons - DYCD-administered drop-in centers,201909,21,67,59,126,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,201909,12,28,23,51,3,3,2
average monthly utilization rates - DYCD-administered facilities,201909,,0.81,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,201909,,0.86,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,201909,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,201909,,0.79,,,,,
,201909,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,201909,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,201909,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,201909,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,201909,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,201909,,,,,,,
,201909,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",201909,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,201909,,13,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,201909,,161,,,,,
,201909,,,,,,,
number of unduplicated persons - DYCD-administered facilities,201911,32,182,134,316,9,9,9
number of unduplicated persons - DYCD-administered crisis shelters,201911,24,68,71,139,9,9,9
number of unduplicated persons - DYCD-administered drop-in centers,201911,5,61,31,92,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,201911,3,53,32,85,0,0,0
average monthly utilization rates - DYCD-administered facilities,201911,,0.83,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,201911,,0.87,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,201911,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,201911,,0.82,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,201911,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,201911,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,201911,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,201911,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,201911,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",201911,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,201911,,14,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,201911,,190,,,,,
,201911,,,,,,,
number of unduplicated persons - DYCD-administered facilities,201912,41,180,130,310,13,13,13
number of unduplicated persons - DYCD-administered crisis shelters,201912,23,85,69,154,9,9,9
number of unduplicated persons - DYCD-administered drop-in centers,201912,5,49,32,81,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,201912,13,46,29,75,4,4,4
average monthly utilization rates - DYCD-administered facilities,201912,,0.83,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,201912,,0.87,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,201912,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,201912,,0.84,,,,,
,201912,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,201912,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,201912,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,201912,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,201912,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,201912,,,,,,,
,201912,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",201912,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,201912,,25,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,201912,,117,,,,,
,201912,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202001,54,213,165,378,15,15,15
number of unduplicated persons - DYCD-administered crisis shelters,202001,22,74,72,146,8,8,8
number of unduplicated persons - DYCD-administered drop-in centers,202001,17,96,59,155,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202001,15,43,34,77,7,7,7
average monthly utilization rates - DYCD-administered facilities,202001,,0.86,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,202001,,0.91,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202001,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,202001,,0.86,,,,,
,202001,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202001,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202001,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202001,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202001,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202001,,,,,,,
,202001,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202001,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202001,,23,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202001,,165,,,,,
,202001,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202002,40,185,134,319,8,8,8
number of unduplicated persons - DYCD-administered crisis shelters,202002,19,83,62,145,4,4,4
number of unduplicated persons - DYCD-administered drop-in centers,202002,11,77,48,125,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202002,10,25,24,49,4,4,4
average monthly utilization rates - DYCD-administered facilities,202002,,0.88,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,202002,,0.89,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202002,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,202002,,0.87,,,,,
,202002,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202002,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202002,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202002,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202002,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202002,,,,,,,
,202002,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202002,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202002,,26,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202002,,189,,,,,
,202002,,,,,,,
,202003,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202003,38,163,123,286,10,10,9
number of unduplicated persons - DYCD-administered crisis shelters,202003,28,60,68,128,7,7,6
number of unduplicated persons - DYCD-administered drop-in centers,202003,4,67,26,93,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202003,6,36,29,65,3,3,3
average monthly utilization rates - DYCD-administered facilities,202003,,0.87,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,202003,,0.84,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202003,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,202003,,0.88,,,,,
,202003,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202003,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202003,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202003,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202003,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202003,,,,,,,
,202003,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202003,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202003,,26,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202003,,183,,,,,
number of unduplicated persons - DYCD-administered facilities,202004,22,79,75,154,5,5,5
number of unduplicated persons - DYCD-administered crisis shelters,202004,13,37,43,80,3,3,3
number of unduplicated persons - DYCD-administered drop-in centers,202004,3,23,16,39,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202004,6,19,16,35,2,2,2
average monthly utilization rates - DYCD-administered facilities,202004,,0.8,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,202004,,0.7,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202004,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,202004,,0.85,,,,,
,202004,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202004,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202004,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202004,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202004,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202004,,,,,,,
,202004,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202004,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202004,,31,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202004,,143,,,,,
,202004,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202005,32,112,84,196,10,10,10
number of unduplicated persons - DYCD-administered crisis shelters,202005,18,57,53,110,4,4,4
number of unduplicated persons - DYCD-administered drop-in centers,202005,4,24,10,34,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202005,10,31,21,52,6,6,6
average monthly utilization rates - DYCD-administered facilities,202005,,0.79,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,202005,,0.69,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202005,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,202005,,0.84,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202005,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202005,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202005,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202005,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202005,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202005,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202005,,25,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202005,,160,,,,,
,202005,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202006,37,120,93,213,10,9,10
number of unduplicated persons - DYCD-administered crisis shelters,202006,22,49,44,93,5,4,5
number of unduplicated persons - DYCD-administered drop-in centers,202006,5,43,26,69,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202006,10,28,23,51,5,5,5
average monthly utilization rates - DYCD-administered facilities,202006,,0.77,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,202006,,0.64,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202006,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,202006,,0.83,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202006,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202006,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202006,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202006,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202006,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202006,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202006,,26,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202006,,152,,,,,
,202006,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202006,65,161,158,259,20,20,19
number of unduplicated persons - DYCD-administered crisis shelters,202006,34,75,85,160,13,13,12
number of unduplicated persons - DYCD-administered drop-in centers,202006,19,58,41,99,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202006,12,28,32,60,7,7,5
average monthly utilization rates - DYCD-administered facilities,202006,,0.71,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,202006,,0.64,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202006,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,202006,,0.74,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202006,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202006,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202006,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202006,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202006,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202006,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202006,,21,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202006,,152,,,,,
,202006,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202008,38,144,131,275,11,11,9
number of unduplicated persons - DYCD-administered crisis shelters,202008,32,72,64,136,9,9,7
number of unduplicated persons - DYCD-administered drop-in centers,202008,1,55,32,87,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202008,5,17,35,52,2,2,2
average monthly utilization rates - DYCD-administered facilities,202008,,0.73,,,,,
average monthly utilization rates - DYCD-administered crisis shelters*,202008,,0.66,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202008,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities *,202008,,0.77,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202008,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202008,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202008,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202008,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202008,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202008,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202008,,19,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202008,,224,,,,,
