objectid,radefect,radefectlocation,failure,impacttarget,consequence,riskrating,inspectionglobalid,globalid,createddate,failureimpact,workorderglobalid
1028782,Decay,Root Flare,2,4,2,8,321843FD-5E12-4BDA-AE2A-5002E9E2B73E,AD69ECA5-AB53-439C-9F87-6A607F7FDEA4,2020-02-10 16:49:00.0000000,6,
991805,Dead Wood,Stem,3,3,4,10,683CAF0A-BCED-40FF-85BA-2B8E64A987D9,6EEAD287-5246-46E2-8967-A7CEFAD40A7E,2020-01-29 17:11:00.0000000,6,1843D7B3-EF8A-4867-9787-A1CD9A6DC213
958008,Decay,Branches,2,3,4,9,6117ACAB-5B46-460F-B37F-1915DABAA74C,9BD10D01-2ECD-4925-A2A1-95B80B0B292A,2020-01-23 15:32:00.0000000,5,
883902,Root Problems,Root Flare,2,4,2,8,7F1CEA44-FFB9-42C6-A5FB-5261F409D4EA,17F5F73F-E067-4B5A-8E88-38727B96F18A,2020-01-08 19:24:00.0000000,6,
2907615,Dead Wood,Branches,1,1,2,4,2F1F6750-6C95-44BB-9B83-8F5E6189F3B5,0AFBD83F-7301-40CC-81FE-970F64F84CE0,2020-11-04 20:51:57.0000000,2,
954072,Decay,Stem,3,3,4,10,4DE14338-C8AC-41E9-8234-365583D57501,34FF7FA0-CB46-4178-A4D9-73C9F810E3E0,2020-01-22 19:55:00.0000000,6,5FF4E388-0FBE-4207-B74B-D248516E0DDB
111260,No Visible Defect,Entire Tree,1,1,1,3,E94A8055-7677-402A-BBBA-0B4684F6A2D8,89B9D761-1774-4555-A66E-A4B51542ABCB,2017-11-01 14:16:01.0000000,2,
1002648,Decay,Stem,2,2,3,7,BBD48876-60D9-4B03-807A-CF562AE85138,01E76308-3944-4017-A58B-9F6AA403E22F,2020-01-31 19:40:00.0000000,4,
2550739,Decay,Stem,2,3,3,8,328DD6C3-067C-4051-B678-F1EC250F2B43,4AC6FBF2-FBC8-4FC5-8AA5-54E3FAD34404,2020-09-01 16:50:28.0000000,5,
1564069,Dead Wood,Branches,2,2,2,6,05B225AE-BF35-4733-A5DE-84547962B6D8,EBB027C3-4B5C-4810-9013-D0BC94025184,2020-05-27 14:14:47.0000000,4,
514242,Decay,Root Flare,1,3,3,7,A724BAA2-077A-4E72-AD8C-C10432D4F56C,8CAA4FBC-2648-40E7-846A-598D5E1FFCA1,2019-10-22 18:44:00.0000000,4,
1246987,Dead Wood,Branches,3,2,3,8,15220B31-63F7-46BC-8784-7D186349855E,C1F56A7F-BE2F-446E-9781-D60F4023CFAA,2020-03-19 16:12:15.0000000,5,
1958326,No Visible Defect,Entire Tree,1,1,1,3,0B594651-50CF-4A21-9401-16A3281E7C11,DAA7375B-AF9E-4759-B99F-F3472B843D5B,2020-07-22 15:20:20.0000000,2,
887274,Decay,Stem,2,4,2,8,CF726185-2BA5-4430-AF5F-9D297923FF23,898EFAF6-00DB-477F-B0EB-5AA7CEF0F393,2020-01-09 15:53:00.0000000,6,
886527,Decay,Stem,2,1,4,7,ACDF730C-27D9-4FF3-A817-5AC82FC57008,4559E332-11E0-4D7C-B127-F4B6E66B0D0E,2020-01-09 15:18:00.0000000,3,
1028748,Decay,Root Flare,2,4,3,9,65A14BA3-5EE0-40DF-88B5-0F9D3EDE1FC0,8EAA61E5-DDAF-4A2A-8FD2-ADA780D0DC4C,2020-02-10 16:09:00.0000000,6,AD37D254-5649-4EB5-8046-C0D8B6DCE2B7
707263,Dead Wood,Branches,1,2,2,5,DC6A86FB-AD2E-4D76-B355-A9741E285AA6,40139AAE-9E9A-432D-B13F-B42A82EF4E52,2019-11-27 14:53:00.0000000,3,
1078423,Decay,Root Flare,3,1,4,8,200A9992-C6AB-48DD-83A6-B997A430658E,790D786F-9625-471C-9EBB-BDCD03408200,2020-02-20 19:18:00.0000000,4,
996162,Dead Wood,Branches,3,1,3,7,321843FD-5E12-4BDA-AE2A-5002E9E2B73E,3FBF7215-759B-4499-9901-25F9F4B000F4,2020-02-10 16:49:00.0000000,4,
1973357,Dead Wood,Branches,2,1,2,5,B8D459A2-C344-4819-8947-2EA4A0F68CBF,063A932A-3294-4658-8E8E-AF34437AC558,2020-07-23 12:11:49.0000000,3,
950191,Dead Wood,Branches,2,2,3,7,3BBE8A1C-600C-4CF2-8550-21C229EB86F8,29FD1E08-4C3F-48FA-8B1B-3BB79AFBA011,2020-01-22 16:09:00.0000000,4,
698478,Decay,Stem,2,4,1,7,4594B313-0EA2-4651-90D0-A25E4B31B298,DA6356A7-5A4D-45AC-B307-CDA7350DF6F7,2019-11-25 18:19:00.0000000,6,
1973360,Dead Wood,Branches,3,1,2,6,4CE76433-A0E6-4C5C-A272-B053E8EC5D19,633F95EE-B230-4CED-96E7-CABA05D2BA5D,2020-07-23 11:50:44.0000000,4,
1958295,No Visible Defect,Entire Tree,1,1,1,3,64EB0AD3-3216-4BE3-A805-769D3BF32F92,999C54F1-8356-4612-AE8A-1EFE3D88FC12,2020-07-22 15:31:30.0000000,2,
1973463,No Visible Defect,Entire Tree,1,1,1,3,34DCE593-F6B7-4AFC-88EC-6973191CBAB2,4D5B4ED4-77BF-4074-AEAD-FD8A59758AD7,2020-07-23 12:18:04.0000000,2,
1973403,No Visible Defect,Entire Tree,1,1,1,3,BF32E9F0-E2DF-4475-BAC4-303BB362C142,D34BD5B1-1D0D-4719-9CAA-FAD986E2B435,2020-07-23 12:27:42.0000000,2,
1016777,Dead Wood,Branches,2,2,2,6,50DF7B1A-BC89-4FFC-835E-3B0AEE86FD2B,EAD555CE-8D73-49BE-8E8F-53FE22BE5BF0,2020-02-05 18:35:00.0000000,4,
2907733,Dead Wood,Branches,2,2,3,7,DF884936-08E4-4275-91F4-12CE27E4E8DB,0A42008C-C17A-49BD-B07A-171B0A7C0155,2020-11-04 19:05:28.0000000,4,
1223203,Poor Tree Architecture,Branches,1,1,1,3,C968023C-8B6B-4ED6-A94E-E3143D3DD84A,B5F7E59D-A1AC-47C1-AFCF-8CA2E6704E72,2020-03-17 13:49:00.0000000,2,
2907713,Dead Wood,Branches,2,2,4,8,35F90F21-7C7F-414C-96B2-C5B1C3EAAE01,F51D4C49-1A2B-468D-950B-EBAB2F43D312,2020-11-04 20:35:46.0000000,4,
1959566,Dead Wood,Branches,1,1,1,3,22EB91BC-E51B-4CA6-A857-8399E56FD2CD,ACB298BA-A18B-4F44-9B82-6E003E6A5F8D,2020-07-22 19:52:03.0000000,2,
1958298,No Visible Defect,Entire Tree,1,1,1,3,AB628062-552F-40D1-8DC3-58C8F995511F,8B9EB043-66AD-48A9-8814-E76790D4DCAC,2020-07-22 15:28:43.0000000,2,
600050,Decay,Branches,2,2,4,8,4847F0EB-DA36-4D4F-B432-2FC12E5E5BE6,C7CAB586-ECD2-4F56-8C14-66E7716ED4CA,2019-10-30 15:05:00.0000000,4,
1770338,Decay,Stem,3,4,3,10,3CF539C8-4550-4080-8D67-B9F1157AEB46,198D06D4-672B-4DFE-AD73-A54D2878AB75,2020-06-25 18:45:00.0000000,7,
3037223,Dead Wood,Branches,1,2,2,5,2027F0B6-2CCD-434A-BAF4-50A6198B5998,AEBB2D10-023B-439D-A7E9-89EA4DA6DB62,2020-12-02 15:21:27.0000000,3,
1082698,No Visible Defect,Entire Tree,1,1,1,3,6EDE9EEA-323A-4998-8826-48CB17139EC6,BAD86D54-CCA6-49A4-BD8F-84927CD6186E,2020-02-24 13:08:00.0000000,2,
